,authors,citation_count,article_count
4511,"Jaspers, M",176,32
7692,"Peute, L",131,23
5926,"Lovis, C",116,67
1174,"Boyer, C",105,13
7957,"Prokosch, H",99,35
8916,"Schulz, S",91,49
1629,"Ceusters, W",91,15
5371,"Kushniruk, A",81,28
1094,"Borycki, E",80,30
2473,"Dugas, M",79,26
2077,"Darmoni, S",77,44
3295,"Geissbuhler, A",74,17
2913,"Finkelstein, J",73,22
673,"Baujard, V",68,4
1154,"Bousquet, C",67,29
853,"Berres, M",65,1
880,"Beuscart, R",65,32
6709,"Monsch, A",65,1
9610,"Stähelin, H",65,1
9879,"Thalmann, B",65,1
841,"Bernasconi, F",65,1
34,"Abidi, S",64,52
1994,"Cuggia, M",61,41
9301,"Smith, B",61,11
1695,"Chazard, E",61,19
5054,"Koch, S",61,18
10750,"Wildenbos, G",60,3
997,"Blobel, B",59,47
8384,"Rodrigues, J",59,23
4514,"Jaulent, M",58,35
1444,"Bürkle, T",54,24
11178,"de Lusignan, S",53,13
1223,"Breil, B",53,9
8038,"Quaglini, S",51,21
1379,"Burgun, A",48,35
4386,"Ingenerf, J",47,21
8572,"Röhrig, R",46,33
11175,"de Keizer, N",46,22
7182,"Nøhr, C",46,32
262,"Ammenwerth, E",45,33
7582,"Peek, N",45,18
2065,"Daniel, C",44,15
4300,"Hägglund, M",44,20
3812,"Hahn, U",43,14
10715,"Westbrook, J",43,13
10170,"Turner, P",43,11
6323,"Masic, I",43,8
2215,"Denecke, K",42,24
6340,"Mate, S",42,5
5727,"Li, Y",41,10
7589,"Pelayo, S",40,13
4798,"Karlsson, D",40,10
1906,"Cornet, R",40,23
6202,"Marcilly, R",40,13
8769,"Scandurra, I",39,12
9228,"Simonet, M",38,4
6380,"Mayer, M",38,9
1203,"Branislav, J",38,2
927,"Biljana, M",38,2
6622,"Milorad, R",38,2
10916,"Yasini, M",38,7
4528,"Jelena, M",38,2
5958,"Luna, D",37,28
5613,"Lee, J",37,11
815,"Bergh, B",36,16
11143,"Zweigenbaum, P",36,9
4005,"Hejlesen, O",36,35
1128,"Bouaud, J",36,30
3072,"Fritz, F",36,7
10389,"Venot, A",36,13
9936,"Thun, S",36,20
3208,"Garcelon, N",36,9
6785,"Mougin, F",36,16
6014,"Löbe, M",36,14
11015,"Zary, N",35,19
4920,"Khajouei, R",34,3
2002,"Cummings, E",34,5
2861,"Ferreira, F",34,5
2517,"Duvauferrier, R",33,11
11292,"Årsand, E",33,14
5173,"Kotoulas, S",33,4
8188,"Rector, A",33,7
10778,"Winter, A",33,24
2585,"Ehrler, F",32,21
1404,"Byford, R",32,2
9489,"Stausberg, J",32,21
10943,"Yonova, I",32,2
8891,"Schreiweis, B",32,16
