,country,citation_count,article_count,index
93,YU,38,3,12.666666666666666
65,PE,18,2,9.0
59,MT,3,1,3.0
70,PY,15,5,3.0
29,ET,10,4,2.5
42,IR,191,82,2.3292682926829267
4,AU,247,107,2.308411214953271
5,BA,30,13,2.3076923076923075
39,IE,85,40,2.125
16,CL,21,10,2.1
90,UG,4,2,2.0
57,MK,6,3,2.0
33,GE,2,1,2.0
86,TT,2,1,2.0
62,NL,638,320,1.99375
91,US,923,470,1.9638297872340424
14,CH,661,361,1.8310249307479225
64,NZ,23,13,1.7692307692307692
40,IL,77,45,1.711111111111111
19,CO,32,19,1.6842105263157894
78,SG,20,12,1.6666666666666667
76,SA,17,11,1.5454545454545454
87,TW,91,59,1.5423728813559323
7,BE,128,83,1.5421686746987953
32,GB,599,395,1.5164556962025317
88,TZ,3,2,1.5
77,SE,432,290,1.4896551724137932
85,TR,83,56,1.4821428571428572
12,CA,360,267,1.348314606741573
36,HR,37,28,1.3214285714285714
63,NO,318,255,1.2470588235294118
28,ES,279,224,1.2455357142857142
18,CN,57,46,1.2391304347826086
11,BR,47,38,1.236842105263158
61,MY,28,23,1.2173913043478262
22,DE,1766,1478,1.1948579161028416
30,FI,269,229,1.1746724890829694
31,FR,1209,1037,1.1658630665380907
43,IS,8,7,1.1428571428571428
3,AT,235,218,1.0779816513761469
44,IT,381,356,1.0702247191011236
10,BN,1,1,1.0
81,SL,1,1,1.0
45,JO,1,1,1.0
66,PH,2,2,1.0
24,DO,2,2,1.0
69,PT,119,120,0.9916666666666667
2,AR,75,82,0.9146341463414634
26,EE,10,11,0.9090909090909091
23,DK,222,247,0.8987854251012146
46,JP,131,152,0.8618421052631579
38,ID,5,6,0.8333333333333334
53,LU,4,5,0.8
21,CZ,28,35,0.8
47,KE,3,4,0.75
94,ZA,3,4,0.75
34,GR,202,308,0.6558441558441559
41,IN,36,55,0.6545454545454545
74,RU,37,61,0.6065573770491803
52,LT,5,9,0.5555555555555556
68,PL,15,27,0.5555555555555556
9,BG,6,11,0.5454545454545454
0,AE,4,8,0.5
54,LV,2,4,0.5
51,LB,3,6,0.5
79,SI,34,70,0.4857142857142857
89,UA,6,13,0.46153846153846156
72,RO,57,124,0.4596774193548387
73,RS,5,12,0.4166666666666667
37,HU,15,41,0.36585365853658536
50,KW,1,3,0.3333333333333333
60,MX,1,3,0.3333333333333333
6,BD,1,3,0.3333333333333333
80,SK,2,6,0.3333333333333333
49,KR,29,92,0.31521739130434784
82,SN,1,4,0.25
71,QA,1,6,0.16666666666666666
84,TH,5,37,0.13513513513513514
8,BF,0,28,0.0
92,VN,0,2,0.0
13,CD,0,2,0.0
15,CI,0,1,0.0
17,CM,0,4,0.0
20,CY,0,18,0.0
56,ME,0,6,0.0
83,SR,0,1,0.0
25,DZ,0,4,0.0
27,EG,0,1,0.0
35,HK,0,3,0.0
55,MA,0,3,0.0
67,PK,0,1,0.0
1,AM,0,1,0.0
48,KH,0,1,0.0
58,ML,0,2,0.0
75,RW,0,13,0.0
