,institute,citation_count,article_count
0,Academic Medical Center,189,54
1,Institute of Medical Informatics,136,101
2,INSERM,126,102
3,Karolinska Institutet,96,46
4,Peter L. Reichertz Institute for Medical Informatics,74,58
5,IBM Research,72,46
6,Novartis Pharma AG,71,2
7,University Hospitals of Geneva,69,34
8,CHU Lille,64,36
9,Sismanogleio General Hospital,62,35
10,Mayo Clinic,60,24
11,Aalborg University,55,55
12,School of Health Information Science,53,23
13,AP-HP,53,54
14,World Health Organization,49,18
15,Health On the Net Foundation,49,4
16,Hospital Italiano de Buenos Aires,48,44
17,National Institute for Health and Welfare,40,15
18,Center for Human Factors Engineering of Health Information Technology,40,6
19,IBM Research Lab,39,3
20,Norwegian Centre for E-health Research,38,28
21,Inserm,35,48
22,Norwegian Centre for Integrated Care and Telemedicine,34,12
23,Johns Hopkins University School of Medicine,32,3
24,National Research Council,32,20
25,Berlin Institute of Health,32,33
26,Hannover Medical School,31,11
27,Northern Research Institute (Norut),31,2
28,Clinical Informatics Research & Development,30,1
29,Linköping University,28,14
30,Japan Science and Technology Agency,28,1
31,Aalto University,27,14
32,Health Informatics Research & Evaluation Unit,26,4
33,New York State Center of Excellence in Bioinformatics & Life Sciences,25,2
34,University Hospital,25,9
35,Center for Information Technology and Medical Engineering,25,9
36,Health on the Net Foundation,24,3
37,Australian Institute of Health Innovation,23,10
38,Norwegian Centre for Telemedicine,23,9
39,Section for Medical Expert and Knowledge-Based Systems,23,2
40,"Laboratoire d'ImmunoGénétique Moléculaire, LIGM",23,1
41,DMD Santé,23,2
42,"Institute for Medical Informatics, Statistics and Epidemiology (IMISE)",23,10
43,Haute Autorité de Santé,22,2
44,Uppsala University,21,12
45,"TMF - Technology, Methods, and Infrastructure for Networked Medical Research",21,4
46,Université Paris 13,21,9
47,eHealth Competence Center,21,12
48,TNO,20,8
49,"Institute for Medical Informatics, Statistics and Epidemiology",20,7
50,Institute for Community Medicine,20,11
51,University of Tasmania,20,3
52,Centre hospitalier de l'Université de Montréal,20,2
53,CERIM,19,16
54,IT Center for Clinical Research,19,16
55,UMR 936 Inserm,19,2
56,Jena University Language & Information Engineering (JULIE) Lab,18,6
57,International Center for Health Information Technology,18,4
58,eHealth Services Research Group,18,1
59,Academic Medical Center-University of Amsterdam,18,1
60,Geneva University Hospitals,18,22
61,IMI,18,5
62,NICHE Research Group,18,15
63,Charité - Universitätsmedizin Berlin,18,16
64,KEOSYS,18,1
65,Graduate Institute of Biomedical Informatics,18,8
66,Desmarais Avocats,18,1
67,Medical Faculty,18,9
68,Université de Montréal,18,1
69,Andrija Stampar School of Public Health,17,14
70,Science and Engineering Faculty,17,2
71,Medical Informatics,17,5
72,Universidad Politécnica de Madrid,17,9
73,Institut de Veille Sanitaire,17,1
74,University Medical Center Göttingen,17,9
75,Institute of Biomedical Informatics,16,4
76,Sorbonne Universités,16,11
77,VA Salt Lake City Health Care System,16,3
78,Ghalb-e-shoma heart and vascular clinic,16,1
79,Health Informatics Research Group,16,16
80,MEDIQ - Medical Informatics and Quality Management,16,4
81,GECKO Institute,16,5
82,Institute of Medical Biometry and Informatics,16,15
83,Preventive Medicine and Public Health Research Center,16,1
84,SIB Swiss Institute of Bioinformatics,15,4
85,Ministry of Health,15,17
86,University of Lille,15,4
87,Sanofi R&D,15,3
88,Chair of Medical Informatics,15,4
89,Assistance Publique-Hôpitaux de Paris,15,10
90,DMD santé,14,2
91,INSERM CIC-IT,14,3
92,Amsterdam UMC,14,27
93,Medical Center for Information and Communication Technology,14,5
94,INSERM U1142,14,2
95,Northwest Clinics Alkmaar,14,1
96,Hôpital Necker-Enfants Malades,14,7
97,Umeå University,14,9
98,Netherlands Comprehensive Cancer Organization (IKNL),14,1
99,IBE,14,7
100,Institute for Health Information Systems,14,10
101,University Hospital Bonn,14,6
102,National Board of Health and Welfare,14,4
103,CISMeF,14,8
104,Centre for Health Informatics,14,10
105,Vrije Universiteit Amsterdam,14,1
106,School of Nursing,14,13
107,Helmholtz Zentrum München,14,4
108,Institute for Bioinformatics and Medical Informatics,13,1
109,Medical Informatics Service,13,4
110,Language and Information Engineering (JULIE) Lab,13,1
111,"Institute for Medical Biometry, Epidemiology und Medical Informatics",13,1
112,CHU Rennes,13,4
113,Health Informatics Centre,13,4
114,Telematics Engineering Research Group,13,6
115,Ocean Informatics,13,1
116,eHealth Competence Center Bavaria,13,5
117,IBM Research Collaboratory,13,2
118,Fondazione Bruno Kessler,13,5
119,Institute for Translational Bioinformatics,13,1
120,IRCCS Fondazione S. Maugeri,13,1
121,IT for Clinical Research,13,2
122,"Institute for Medical Informatics, Statistics and Documentation",13,13
123,Gesellschaft für wissenschaftliche Datenverarbeitung mbH,13,1
124,"UPRESS EA 4067 and Service de Biostatistique et d'Informatique Médicale, APHP - Necker-Enfants Malades Hospital",13,1
125,St. George's - University of London,12,2
126,IBM T.J. Watson Research Center,12,7
127,School of Health Sciences,12,9
128,Maugeri Foundation IRCCS,12,3
129,GROW school for Oncology and Developmental Biology,12,1
130,IMIM-Universitat Pompeu Fabra,12,1
131,Imagine Institute,12,8
132,CAPHRI Research School,12,1
133,Leiden University Medical Center,12,8
134,Fujita Health University,12,4
135,Telfer School of Management,12,6
136,Citibeats,12,2
137,Institute of Software Technology and Interactive Systems,12,4
138,Institute of Data Science,12,1
139,ISPED,12,2
140,Merck KGaA,12,3
141,Centraal Bureau voor de Statistiek (CBS),12,1
142,Technion,11,1
143,Finnish Institute for Health and Welfare,11,10
144,Regenstrief Institute,11,4
145,IFOMIS,11,4
146,TMF,11,1
147,University of Medicine and Pharmacy Timisoara,11,4
148,CINTESIS: Center for Research in Health Technologies and Information Systems,11,1
149,Institute for Medical Informatics and Biometry,11,15
150,Medical University of Graz,11,8
151,University Hospital Maastricht,11,2
152,Center for Shared Decision Making and Nursing Research,11,1
153,School of Business,11,4
154,AstraZeneca,11,4
155,School of Computing,11,3
156,CNRS,11,24
157,Swedish Medical Center,10,3
158,Institute of Health Policy and Management (iBMG),10,2
159,University of Applied Sciences Western Switzerland (HES-SO),10,4
160,Institute of Health Informatics,10,5
161,Institute for Diabetes Research,10,1
162,IBM Research - Haifa,10,1
163,Faculty of Electrical Engineering and Computing,10,2
164,CGI Information Systems and Management Consultants,10,1
165,"The Dai-ichi Life Insurance Company, Limited",10,2
166,UiT The Arctic University of Norway,10,11
167,IBM China Research Lab,10,3
168,Hospital Universitario 12 de Octubre,10,5
169,Center of Excellence in Bioinformatics and Life Sciences,10,1
170,Rouen University Hospital,10,10
171,Urmia University of Medical Science,10,2
172,School of Medicine,10,10
173,Health eResearch Centre,10,2
174,Instituto de Higiene e Medicina Tropical,10,7
175,Virgen del Rocío University Hospital,10,6
176,German Center for Lung Research (DZL),10,3
