,country,Publications,Total Citations,Percentage,Avg Citations
0,AE,8,4,0.09658336351563443,0.5
1,AM,1,0,0.012072920439454304,0.0
2,AR,82,75,0.9899794760352529,0.9146341463414634
3,AT,218,235,2.631896655801038,1.0779816513761469
4,AU,107,247,1.2918024870216105,2.308411214953271
5,BA,13,30,0.15694796571290595,2.3076923076923075
6,BD,3,1,0.036218761318362915,0.3333333333333333
7,BE,83,128,1.0020523964747072,1.5421686746987953
8,BF,28,0,0.3380417723047205,0.0
9,BG,11,6,0.13280212483399734,0.5454545454545454
10,BN,1,1,0.012072920439454304,1.0
11,BR,38,47,0.4587709766992636,1.236842105263158
12,CA,267,360,3.223469757334299,1.348314606741573
13,CD,2,0,0.024145840878908607,0.0
14,CH,361,661,4.358324278643004,1.8310249307479225
15,CI,1,0,0.012072920439454304,0.0
16,CL,10,21,0.12072920439454304,2.1
17,CM,4,0,0.048291681757817215,0.0
18,CN,46,57,0.555354340214898,1.2391304347826086
19,CO,19,32,0.2293854883496318,1.6842105263157894
20,CY,18,0,0.21731256791017745,0.0
21,CZ,35,28,0.4225522153809006,0.8
22,DE,1478,1766,17.843776409513463,1.1948579161028416
23,DK,247,222,2.982011348545213,0.8987854251012146
24,DO,2,2,0.024145840878908607,1.0
25,DZ,4,0,0.048291681757817215,0.0
26,EE,11,10,0.13280212483399734,0.9090909090909091
27,EG,1,0,0.012072920439454304,0.0
28,ES,224,279,2.704334178437764,1.2455357142857142
29,ET,4,10,0.048291681757817215,2.5
30,FI,229,269,2.7646987806350354,1.1746724890829694
31,FR,1037,1209,12.519618495714113,1.1658630665380907
32,GB,395,599,4.76880357358445,1.5164556962025317
33,GE,1,2,0.012072920439454304,2.0
34,GR,308,202,3.718459495351926,0.6558441558441559
35,HK,3,0,0.036218761318362915,0.0
36,HR,28,37,0.3380417723047205,1.3214285714285714
37,HU,41,15,0.49498973801762647,0.36585365853658536
38,ID,6,5,0.07243752263672583,0.8333333333333334
39,IE,40,85,0.4829168175781722,2.125
40,IL,45,77,0.5432814197754438,1.711111111111111
41,IN,55,36,0.6640106241699867,0.6545454545454545
42,IR,82,191,0.9899794760352529,2.3292682926829267
43,IS,7,8,0.08451044307618012,1.1428571428571428
44,IT,356,381,4.297959676445733,1.0702247191011236
45,JO,1,1,0.012072920439454304,1.0
46,JP,152,131,1.8350839067970544,0.8618421052631579
47,KE,4,3,0.048291681757817215,0.75
48,KH,1,0,0.012072920439454304,0.0
49,KR,92,29,1.110708680429796,0.31521739130434784
50,KW,3,1,0.036218761318362915,0.3333333333333333
51,LB,6,3,0.07243752263672583,0.5
52,LT,9,5,0.10865628395508872,0.5555555555555556
53,LU,5,4,0.06036460219727152,0.8
54,LV,4,2,0.048291681757817215,0.5
55,MA,3,0,0.036218761318362915,0.0
56,ME,6,0,0.07243752263672583,0.0
57,MK,3,6,0.036218761318362915,2.0
58,ML,2,0,0.024145840878908607,0.0
59,MT,1,3,0.012072920439454304,3.0
60,MX,3,1,0.036218761318362915,0.3333333333333333
61,MY,23,28,0.277677170107449,1.2173913043478262
62,NL,320,638,3.8633345406253774,1.99375
63,NO,255,318,3.0785947120608474,1.2470588235294118
64,NZ,13,23,0.15694796571290595,1.7692307692307692
65,PE,2,18,0.024145840878908607,9.0
66,PH,2,2,0.024145840878908607,1.0
67,PK,1,0,0.012072920439454304,0.0
68,PL,27,15,0.3259688518652662,0.5555555555555556
69,PT,120,119,1.4487504527345163,0.9916666666666667
70,PY,5,15,0.06036460219727152,3.0
71,QA,6,1,0.07243752263672583,0.16666666666666666
72,RO,124,57,1.4970421344923337,0.4596774193548387
73,RS,12,5,0.14487504527345166,0.4166666666666667
74,RU,61,37,0.7364481468067126,0.6065573770491803
75,RW,13,0,0.15694796571290595,0.0
76,SA,11,17,0.13280212483399734,1.5454545454545454
77,SE,290,432,3.5011469274417477,1.4896551724137932
78,SG,12,20,0.14487504527345166,1.6666666666666667
79,SI,70,34,0.8451044307618012,0.4857142857142857
80,SK,6,2,0.07243752263672583,0.3333333333333333
81,SL,1,1,0.012072920439454304,1.0
82,SN,4,1,0.048291681757817215,0.25
83,SR,1,0,0.012072920439454304,0.0
84,TH,37,5,0.4466980562598093,0.13513513513513514
85,TR,56,83,0.676083544609441,1.4821428571428572
86,TT,1,2,0.012072920439454304,2.0
87,TW,59,91,0.7123023059278039,1.5423728813559323
88,TZ,2,3,0.024145840878908607,1.5
89,UA,13,6,0.15694796571290595,0.46153846153846156
90,UG,2,4,0.024145840878908607,2.0
91,US,470,923,5.674272606543522,1.9638297872340424
92,VN,2,0,0.024145840878908607,0.0
93,YU,3,38,0.036218761318362915,12.666666666666666
94,ZA,4,3,0.048291681757817215,0.75
